id,type,closeMatch,mappingRelation,semanticRelation,exactMatch,dc\.identifier,definition,inScheme,notation,note,prefLabel,topConceptOf,hasTopConcept
http://inspire.ec.europa.eu/codelist/AnthropogenicGeomorphologicFeatureTypeValue/dump,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/pu,https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/pu,https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/pu,null,null,null,null,null,null,null,null,null
http://inspire.ec.europa.eu/codelist/CommodityCodeValue/aggregate,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/sn|https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/st,https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/sn|https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/st,https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/sn|https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/st,null,null,null,null,null,null,null,null,null
http://inspire.ec.europa.eu/codelist/CommodityCodeValue/bentonite,http://www.w3.org/2004/02/skos/core#Concept,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/bentonite|https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/be,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/bentonite|https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/be,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/bentonite|https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/be,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/bentonite|https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/be,null,null,null,null,null,null,null,null
http://inspire.ec.europa.eu/codelist/CommodityCodeValue/chert,http://www.w3.org/2004/02/skos/core#Concept,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/chert|https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/ch|https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/vs,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/chert|https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/ch|https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/vs,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/chert|https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/ch|https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/vs,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/chert|https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/ch|https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/vs,null,null,null,null,null,null,null,null
http://inspire.ec.europa.eu/codelist/CommodityCodeValue/coal,http://www.w3.org/2004/02/skos/core#Concept,https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/pk,https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/pk,https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/pk,null,null,null,null,null,null,null,null,null
http://inspire.ec.europa.eu/codelist/CommodityCodeValue/glauconite,http://www.w3.org/2004/02/skos/core#Concept,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/glauconite|https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/gl,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/glauconite|https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/gl,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/glauconite|https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/gl,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/glauconite|https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/gl,null,null,null,null,null,null,null,null
http://inspire.ec.europa.eu/codelist/CommodityCodeValue/hematite,http://www.w3.org/2004/02/skos/core#Concept,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/hematite|https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/he,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/hematite|https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/he,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/hematite|https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/he,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/hematite|https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/he,null,null,null,null,null,null,null,null
http://inspire.ec.europa.eu/codelist/CommodityCodeValue/iron,http://www.w3.org/2004/02/skos/core#Concept,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/iron|https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/fe,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/iron|https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/fe,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/iron|https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/fe,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/iron|https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/fe,null,null,null,null,null,null,null,null
http://inspire.ec.europa.eu/codelist/CommodityCodeValue/laterite,http://www.w3.org/2004/02/skos/core#Concept,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/laterite|https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/la,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/laterite|https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/la,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/laterite|https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/la,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/laterite|https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/la,null,null,null,null,null,null,null,null
http://inspire.ec.europa.eu/codelist/CommodityCodeValue/mica,http://www.w3.org/2004/02/skos/core#Concept,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/mica|https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/gm2,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/mica|https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/gm2,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/mica|https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/gm2,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/mica|https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/gm2,null,null,null,null,null,null,null,null
http://inspire.ec.europa.eu/codelist/CommodityCodeValue/pumice,http://www.w3.org/2004/02/skos/core#Concept,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/pumice|https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/pm,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/pumice|https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/pm,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/pumice|https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/pm,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/pumice|https://data.bodemenondergrond.vlaanderen.be/id/concept/hoofdnaam/pm,null,null,null,null,null,null,null,null
