uri,type,dc.id,collection,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
colt:hoofdnamen,skos:Collection,hoofdnamen,,,Collectie van hoofdnamen.,,,,,,,,,,,,,cs,hoofdnaam,,,,,,
ct:AF,skos:Concept,AF,colt:hoofdnamen,,afval,,,,,,,,,,,,,cs:hoofdnaam,,,,,,,cs:hoofdnaam
ct:AA,skos:Concept,AA,colt:hoofdnamen,,amfiboliet,,,,,,,,,,,,,cs:hoofdnaam,,,,,,,cs:hoofdnaam
ct:AB,skos:Concept,AB,colt:hoofdnamen,,andesiet,,,,,,,,,,,,,cs:hoofdnaam,,,,,,,cs:hoofdnaam
ct:AC,skos:Concept,AC,colt:hoofdnamen,,anhydriet,,,,,,,,,,,,,cs:hoofdnaam,,,,,,,cs:hoofdnaam
ct:AD,skos:Concept,AD,colt:hoofdnamen,,ankeriet,,,,,,,,,,,,,cs:hoofdnaam,,,,,,,cs:hoofdnaam
ct:AN,skos:Concept,AN,colt:hoofdnamen,,antropogeen niet vloeistofdicht,,,,,,,,,,,,,cs:hoofdnaam,,,,,,,cs:hoofdnaam
ct:AV,skos:Concept,AV,colt:hoofdnamen,,antropogeen vloeistofdicht,,,,,,,,,,,,,cs:hoofdnaam,,,,,,,cs:hoofdnaam
ct:AW,skos:Concept,AW,colt:hoofdnamen,,antropogeen weinig vloeistofdicht,,,,,,,,,,,,,cs:hoofdnaam,,,,,,,cs:hoofdnaam
ct:AR,skos:Concept,AR,colt:hoofdnamen,,areniet,,,,,,,,,,,,,cs:hoofdnaam,,,,,,,cs:hoofdnaam
ct:AE,skos:Concept,AE,colt:hoofdnamen,,arkose,,,,,,,,,,,,,cs:hoofdnaam,,,,,,,cs:hoofdnaam
ct:AG,skos:Concept,AG,colt:hoofdnamen,,as,,,,,,,,,,,,,cs:hoofdnaam,,,,,,,cs:hoofdnaam
ct:AT,skos:Concept,AT,colt:hoofdnamen,,asfalt,,,,,,,,,,,,,cs:hoofdnaam,,,,,,,cs:hoofdnaam
ct:BK,skos:Concept,BK,colt:hoofdnamen,,baksteen,,,,,,,,,,,,,cs:hoofdnaam,,,,,,,cs:hoofdnaam
ct:BA,skos:Concept,BA,colt:hoofdnamen,,basalt,,,,,,,,,,,,,cs:hoofdnaam,,,,,,,cs:hoofdnaam
ct:BB,skos:Concept,BB,colt:hoofdnamen,,bauxiet,,,,,,,,,,,,,cs:hoofdnaam,,,,,,,cs:hoofdnaam
ct:BC,skos:Concept,BC,colt:hoofdnamen,,bentoniet,,,,,,,,,,,,,cs:hoofdnaam,,,,,,,cs:hoofdnaam
ct:BT,skos:Concept,BT,colt:hoofdnamen,,beton,,,,,,,,,,,,,cs:hoofdnaam,,,,,,,cs:hoofdnaam
ct:BS,skos:Concept,BS,colt:hoofdnamen,,blauwshist,,,,,,,,,,,,,cs:hoofdnaam,,,,,,,cs:hoofdnaam
ct:CA,skos:Concept,CA,colt:hoofdnamen,,carbonaatfragmenten,,,,,,,,,,,,,cs:hoofdnaam,,,,,,,cs:hoofdnaam
