uri,dc.identifier,notation,prefLabel,definition,exactMatch,closeMatch,inScheme,topConceptOf
conceptscheme:hoofdnaam,be.vlaanderen.bodemenondergrond.data.id.conceptscheme.hoofdnaam,,lijst van hoofdnamen,,,,,
concept:ad,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.ad,AD,andesiet,Grijs tot zwart intermediair uitvloeiingsgesteente.,http://inspire.ec.europa.eu/codelist/LithologyValue/andesite,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:ae,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.ae,AE,arkose,"Sedimentair gesteente, type zandsteen met een grote hoeveelheid veldspaat.",,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/sandstone,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:af,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.af,AF,afval,Door mensen aangebracht afval.,http://inspire.ec.europa.eu/codelist/LithologyValue/waste,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:ah,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.ah,AH,anhydriet,Ongehydrateerde variant van het evaporitische mineraal gips.,http://inspire.ec.europa.eu/codelist/LithologyValue/gypsumOrAnhydrite,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:ak,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.ak,AK,ankeriet,"Carbonaatmineraal dat naast calcium ook ijzer, magnesium en mangaan bevat.",,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:an,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.an,AN,antropogeen niet vloeistofdicht,Verstoord doorlatend materiaal.,,http://inspire.ec.europa.eu/codelist/LithologyValue/anthropogenicMaterial,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:ar,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.ar,AR,areniet,Sedimentair gesteente waarin de korrels de grootte van zand hebben.,http://inspire.ec.europa.eu/codelist/LithologyValue/arenite,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:as,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.as,AS,as,Resten die overblijven na verbranding.,,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:at,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.at,AT,asfalt,Kunstmatig gesteente samengesteld uit mineraal aggregaat en bitumen.,,http://inspire.ec.europa.eu/codelist/LithologyValue/bitumen,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:av,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.av,AV,antropogeen vloeistofdicht,Verstoord ondoorlatend materiaal.,,http://inspire.ec.europa.eu/codelist/LithologyValue/anthropogenicMaterial,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:aw,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.aw,AW,antropogeen weinig vloeistofdicht,Verstoord licht doorlatend materiaal.,,http://inspire.ec.europa.eu/codelist/LithologyValue/anthropogenicMaterial,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:ba,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.ba,BA,basalt,Zwart mafisch uitvloeiingsgesteente.,http://inspire.ec.europa.eu/codelist/LithologyValue/basalt,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:be,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.be,BE,bentoniet,"Zwellende natrium-klei, grotendeels bestaande uit montmorilloniet. Belangrijke component van boormodder.",http://inspire.ec.europa.eu/codelist/CommodityCodeValue/bentonite,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:bk,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.bk,BK,baksteen,"Steen gebakken door mensen, op basis van een mengeling van hoofdzakelijk klei en leem.",,http://inspire.ec.europa.eu/codelist/LithologyValue/anthropogenicConsolidatedMaterial,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:bt,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.bt,BT,beton,"Kunstmatige gesteente dat als bouwmateriaal gebruikt wordt, bestaande uit cement en uit zand, grind of steenslag.",http://inspire.ec.europa.eu/codelist/LithologyValue/concrete,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:ca,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.ca,CA,carbonaatfragmenten,Fragmenten van carbonaatgesteenten.,,http://inspire.ec.europa.eu/codelist/LithologyValue/carbonateSedimentaryMaterial,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:ch,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.ch,CH,chert (gebande),"Vuursteen, silex of flint. Bestaat uit cryptokristallijn kwarts.",http://inspire.ec.europa.eu/codelist/CommodityCodeValue/chert,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:co,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.co,CO,"conglomeraat/breccie",Sedimentaire gesteente bestaande uit grind in een fijnere matrix.,http://inspire.ec.europa.eu/codelist/LithologyValue/conglomerate,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:ko,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.ko,KO,steenkool,"Gesteente hoofdzakelijk bestaande uit organisch materiaal, gevormd na diepe begraving onder hoge druk en temperatuur.",http://inspire.ec.europa.eu/codelist/LithologyValue/bituminousCoal,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:da,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.da,DA,daciet,Felsisch uitvloeiingsgesteente.,http://inspire.ec.europa.eu/codelist/LithologyValue/dacite,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
